Apartment,IPIP_1,IPIP_2,IPIP_3,IPIP_4,IPIP_5,IPIP_6,IPIP_7,IPIP_8,IPIP_9,IPIP_10,Sleep_schedule,Noise_sensitivity,Cleanliness,Cleanliness_2,Cooking_at_home,Guests_over,Smoking,Alcohol,Vibe,Chores,Conflict,FlatmateFactors_Priority,Compatibility_Importance,Compatibility_OverallRating,Compat_DailyRoutines,Compat_Tidiness,Compat_Noise,Compat_Interaction,Compat_Conflict,Compat_Relaxedness
FR.31,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,After 02:00,Somewhat insensitive,Very important,Rarely,Rarely,Never,Non-smoker,Sometimes,Balanced,Do my fair share,Avoid confrontation,Shared interests / personality fit,Very,Very compatible,Agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
A.15,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,After 02:00,Neutral,Moderately important,Sometimes,Several times per week,Never,Non-smoker,Sometimes,Balanced,Often take initiative,Compromise quickly,Not important / flexible,Slightly,Slightly compatible,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
A.44,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,00:00-02:00,Somewhat sensitive,Moderately important,Always,Several times per week,Once per week,Non-smoker,Sometimes,Balanced,Take responsibility for most,"Be direct, even if uncomfortable",Respect for boundaries,Moderately,Slightly compatible,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,Disagree
B.61,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,After 02:00,Neutral,Very important,Most of the time,Never,Several times per week,Non-smoker,Rarely,Social & lively,Do my fair share,"Be direct, even if uncomfortable",Not important / flexible,Slightly,Moderately compatible,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly disagree
A.14,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,22:00-00:00,Somewhat sensitive,Very important,Often,Several times per week,A few times per month,Non-smoker,Never,Mostly private,Often take initiative,"Be direct, even if uncomfortable",Reliability in shared spaces,Extremely,Moderately compatible,Disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree
B.22,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,00:00-02:00,Very sensitive,Very important,Most of the time,Once per week,Several times per week,Non-smoker,Rarely,Very social,Do my fair share,"Be direct, even if uncomfortable",Reliability in shared spaces,Not at all,Slightly compatible,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree
A.06,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Disagree,After 02:00,Very sensitive,Extremely important,Sometimes,Several times per week,Never,Smoker,Rarely,Very social,Do my fair share,Avoid confrontation,Shared interests / personality fit,Very,Not at all compatible,Agree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree
C.52,Agree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Strongly agree,Neither agree nor disagree,Disagree,00:00-02:00,Neutral,Very important,Sometimes,Rarely,A few times per month,Non-smoker,Very often,Quiet & private,Take responsibility for most,Compromise quickly,Not important / flexible,Slightly,Very compatible,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree
D.43,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,After 02:00,Neutral,Moderately important,Rarely,Several times per week,Rarely,Non-smoker,Never,Quiet & private,Take responsibility for most,"Be direct, even if uncomfortable",Being social and engaging,Slightly,Slightly compatible,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree
D.44,Neither agree nor disagree,Strongly agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,22:00-00:00,Somewhat sensitive,Very important,Rarely,Once per week,A few times per month,Smoker,Often,Balanced,Often take initiative,Avoid confrontation,Reliability in shared spaces,Slightly,Slightly compatible,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree
HD.61,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,22:00-00:00,Very sensitive,Extremely important,Sometimes,Rarely,A few times per month,Non-smoker,Never,Balanced,Do my fair share,Avoid confrontation,Similar daily routines,Slightly,Very compatible,Agree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Agree
B.53,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Neither agree nor disagree,After 02:00,Very insensitive,Extremely important,Most of the time,Several times per week,Once per week,Smoker,Often,Mostly private,Take responsibility for most,"Be direct, even if uncomfortable",Reliability in shared spaces,Moderately,Moderately compatible,Agree,Disagree,Disagree,Strongly disagree,Agree,Neither agree nor disagree
B.34,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,22:00-00:00,Neutral,Very important,Often,Every day,Rarely,Non-smoker,Sometimes,Mostly private,Avoid them,"Be direct, even if uncomfortable",Reliability in shared spaces,Extremely,Moderately compatible,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree
C.12,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Neutral,Very important,Sometimes,Rarely,Rarely,Non-smoker,Rarely,Balanced,Do them when asked,Try to solve problems through discussion,Similar daily routines,Not at all,Moderately compatible,Agree,Strongly agree,Agree,Strongly agree,Disagree,Agree
A.22,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Before 22:00,Very sensitive,Extremely important,Often,Once per week,A few times per month,Non-smoker,Rarely,Balanced,Often take initiative,Try to solve problems through discussion,Reliability in shared spaces,Moderately,Moderately compatible,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly disagree
B.61,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,00:00-02:00,Somewhat insensitive,Very important,Sometimes,Every day,A few times per month,Smoker,Sometimes,Quiet & private,Do them when asked,"Be direct, even if uncomfortable",Similar daily routines,Moderately,Moderately compatible,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
E.11,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,After 02:00,Somewhat sensitive,Extremely important,Rarely,Once per week,Several times per week,Smoker,Rarely,Social & lively,Take responsibility for most,Try to solve problems through discussion,Not important / flexible,Slightly,Extremely compatible,Agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Disagree,Neither agree nor disagree
A.32,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Somewhat sensitive,Very important,Rarely,Never,Several times per week,Non-smoker,Sometimes,Balanced,Do my fair share,Try to solve problems through discussion,Not important / flexible,Slightly,Slightly compatible,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree
B.22,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Before 22:00,Somewhat sensitive,Moderately important,Most of the time,Every day,Rarely,Non-smoker,Often,Mostly private,Do my fair share,Compromise quickly,Respect for boundaries,Extremely,Slightly compatible,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree
A.34,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Before 22:00,Somewhat insensitive,Very important,Often,Once per week,Rarely,Non-smoker,Rarely,Balanced,Often take initiative,"Be direct, even if uncomfortable",Similar daily routines,Not at all,Not at all compatible,Strongly disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree
B.04,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,After 02:00,Neutral,Extremely important,Rarely,Rarely,A few times per month,Non-smoker,Often,Quiet & private,Often take initiative,"Be direct, even if uncomfortable",Reliability in shared spaces,Very,Moderately compatible,Agree,Neither agree nor disagree,Strongly agree,Disagree,Strongly disagree,Neither agree nor disagree
FR.33,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Somewhat sensitive,Very important,Rarely,Every day,Never,Non-smoker,Rarely,Balanced,Do my fair share,"Be direct, even if uncomfortable",Similar daily routines,Slightly,Moderately compatible,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree
B.54,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,22:00-00:00,Very sensitive,Moderately important,Often,Every day,Rarely,Non-smoker,Very often,Quiet & private,Do them when asked,"Be direct, even if uncomfortable",Being social and engaging,Moderately,Slightly compatible,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
A.54,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Before 22:00,Very insensitive,Very important,Sometimes,Once per week,A few times per month,Non-smoker,Sometimes,Quiet & private,Often take initiative,Try to solve problems through discussion,Respect for boundaries,Moderately,Slightly compatible,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Agree
A.46,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,After 02:00,Neutral,Slightly important,Sometimes,Rarely,Once per week,Non-smoker,Sometimes,Mostly private,Do my fair share,Try to solve problems through discussion,Being social and engaging,Slightly,Slightly compatible,Agree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly disagree
C.62,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,After 02:00,Somewhat insensitive,Very important,Often,Several times per week,Never,Non-smoker,Sometimes,Quiet & private,Do them when asked,Try to solve problems through discussion,Similar daily routines,Slightly,Slightly compatible,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
TU.55,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Strongly agree,Neither agree nor disagree,22:00-00:00,Somewhat insensitive,Moderately important,Most of the time,Rarely,Rarely,Non-smoker,Sometimes,Balanced,Often take initiative,"Be direct, even if uncomfortable",Similar daily routines,Slightly,Extremely compatible,Agree,Strongly agree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly agree
MO52,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,22:00-00:00,Somewhat insensitive,Very important,Rarely,Once per week,Several times per week,Non-smoker,Rarely,Balanced,Do them when asked,"Be direct, even if uncomfortable",Similar daily routines,Slightly,Very compatible,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Neither agree nor disagree
MO51,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,00:00-02:00,Somewhat sensitive,Moderately important,Sometimes,Several times per week,Rarely,Smoker,Never,Quiet & private,Take responsibility for most,Compromise quickly,Being social and engaging,Very,Not at all compatible,Agree,Strongly agree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree
